지점,일시,평균기온(°C),최고기온(°C),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s)
189,2019-09-14,24.9,28,,3.3,1.8
189,2019-09-15,25.1,27.9,,3.1,1.3
189,2019-09-16,24.8,28,,3.5,2.1
189,2019-09-17,23.7,26.5,,5.2,3.1
189,2019-09-18,24.5,29.5,,4.9,1.9
189,2019-09-19,23.2,26.7,,6.2,3.5
189,2019-09-20,22.7,26.4,.7,5.8,3.8
189,2019-09-21,20.7,22.2,57.8,7.4,5.3
189,2019-09-22,21.4,24.1,78.9,10.7,5.8
189,2019-09-23,20.9,24.4,.6,2.6,1.1
189,2019-09-24,20.8,25.1,,2.9,1.5
189,2019-09-25,21.7,25.5,,4.8,1.8
189,2019-09-26,23.9,27.2,.1,4.1,2.4
189,2019-09-27,24.4,26.5,12.4,2.7,1.4
189,2019-09-28,25.5,28,,2.2,1.1
189,2019-09-29,24.4,27.9,38.3,2.5,.9
189,2019-09-30,24.3,27.1,6.3,1.7,.8
